Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
2002,GMC,Yukon 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2350
2002,GMC,Yukon 1500 AWD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2900
2002,GMC,Yukon XL 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2350
2002,GMC,Yukon XL 1500 AWD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2050
2002,Chevrolet,Silverado 1500 4WD,Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,12,16,1750
2002,GMC,Sierra 1500 4WD,Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,12,16,1850
2002,Chevrolet,Avalanche 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2350
2002,Chevrolet,Avalanche 1500 AWD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2500
2002,Chevrolet,Suburban 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2350
2002,Chevrolet,Suburban 1500 AWD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2500
